old;new;obj;subst
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IAdminRoleCustomPersistenceHandler;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_provIAdminRoleCustomPersistenceHandler;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl ICustomPersistenceHandlerAdapter;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_provICustomPersistenceHandlerAdapter;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl ICustomPersistenceHandler;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_provICustomPersistenceHandler;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IOrdered;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_provIOrdered;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_anonymousBean_provIAdminRoleCustomPersistenceHandler_inst;true
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_anonymousBean_provICustomPersistenceHandlerAdapter_inst;true
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_anonymousBean_provICustomPersistenceHandler_inst;true
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_server_security_handler_AdminRoleCustomPersistenceHandler_anonymousBean_provIOrdered_inst;true
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.CompClassImpl "org.broadleafcommerce.openadmin.server.security.handler.AdminRoleCustomPersistenceHandler";null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IPlaintextPasswordEncoder;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_springframework_security_authentication_encoding_PlaintextPasswordEncoder_provIPlaintextPasswordEncoder;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IObject;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl ${password_site_encoder}_provIObject;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl blPasswordEncoder_provIPlaintextPasswordEncoder_inst;true
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl blPasswordEncoder_provIObject_inst;false
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.CompClassImpl "org.springframework.security.authentication.encoding.PlaintextPasswordEncoder";null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IRuleBuilderEnumOptionsExtensionManager;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_web_rulebuilder_enums_RuleBuilderEnumOptionsExtensionManager_provIRuleBuilderEnumOptionsExtensionManager;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IObject;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_web_rulebuilder_enums_RuleBuilderEnumOptionsExtensionManager_listeners;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IRuleBuilderEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_openadmin_web_rulebuilder_enums_RuleBuilderEnumOptionsExtensionManager_provIRuleBuilderEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl blRuleBuilderEnumOptionsExtensionManager_provIRuleBuilderEnumOptionsExtensionManager_inst;true
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl set:blRuleBuilderEnumOptionsExtensionManager_listeners_inst;false
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl blRuleBuilderEnumOptionsExtensionManager_provIRuleBuilderEnumOptionsExtensionListener_inst;true
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.CompClassImpl "org.broadleafcommerce.openadmin.web.rulebuilder.enums.RuleBuilderEnumOptionsExtensionManager";null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl ITimeEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_admin_web_rulebuilder_service_options_TimeEnumOptionsExtensionListener_provITimeEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IAbstractRuleBuilderEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_admin_web_rulebuilder_service_options_TimeEnumOptionsExtensionListener_provIAbstractRuleBuilderEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceTypeImpl IRuleBuilderEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_admin_web_rulebuilder_service_options_TimeEnumOptionsExtensionListener_provIRuleBuilderEnumOptionsExtensionListener;null
broadleaf-3.0.0-BETA3;broadleaf-3.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_admin_web_rulebuilder_service_options_TimeEnumOptionsExtensionListener_anonymousBean_provITimeEnumOptionsExtensionListener_inst;true
