old;new;obj;subst
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IAbstractStructuredContentRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIAbstractStructuredContentRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IStructuredContentRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIStructuredContentRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IAbstractRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIAbstractRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIAbstractStructuredContentRuleProcessor_inst;true
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIStructuredContentRuleProcessor_inst;true
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIAbstractRuleProcessor_inst;false
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIRuleProcessor_inst;false
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IAbstractPageRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_service_PageDefaultRuleProcessor_provIAbstractPageRuleProcessor;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IPageRuleProcessor;null
