old;new;obj;subst
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl getPersistenceProvider;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl createEntityManagerFactoryProxy;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setEntityManagerInterface;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl createNativeEntityManagerFactory;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setJpaVendorAdapter;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setPersistenceProvider;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl postProcessEntityManagerFactory;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl determinePersistenceUnitInfo;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setMappingResources;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl getEntityManagerFactoryInterface;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl getPersistenceProvider;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl postProcessEntityManagerFactory;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.ParameterImpl arg1;false
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl doRegister;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setRegistrationBehavior;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl doUnregister;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl unregisterBeans;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setRegistrationBehaviorName;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl registerManagedResource;false
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl autodetectMBeans;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl createModelMBean;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setAssembler;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl notifyListenersOfUnregistration;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setListeners;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl registerBeanInstance;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setNotificationListeners;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl setNotificationListenerMappings;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl registerBeanNameOrInstance;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl adaptMBeanIfPossible;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl injectNotificationPublisherIfNecessary;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl autodetectBeans;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl isBeanDefinitionAbstract;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl replaceNotificationListenerBeanNameKeysIfNecessary;null
broadleaf-3.1.0-M2-5;broadleaf-3.1.0-M2-6;class dedal.impl.SignatureImpl unregisterNotificationListeners;null
