old;new;obj;subst
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_PageImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_Page_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_PageAttributeImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_PageAttribute_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_PageRuleImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_PageRule_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_PageTemplateImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_domain_PageTemplate_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_file_domain_StaticAssetImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_file_domain_StaticAsset_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContentImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContent_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContentTypeImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContentType_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContentFieldTemplateImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContentFieldTemplate_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContentRuleImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_domain_StructuredContentRule_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl ILocatable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_url_domain_URLHandlerImpl_provILocatable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_url_domain_URLHandlerImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_url_domain_URLHandler_provILocatable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_url_domain_URLHandler_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CategoryImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_Category_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CategoryAttributeImpl_provIMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CategoryAttribute_provIMultiTenantCloneable_inst;false
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-3.2.0-M2;broadleaf-4.0.0-BETA3;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CategoryProductXrefImpl_provIMultiTenantCloneable;null
