old;new;obj;subst
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IISOCountryWrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IBaseWrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IAPIWrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIApplicationContextAware;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper_inst;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper_inst;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper_inst;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper_inst;false
