old;new;obj;subst
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IISOCountryWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IBaseWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IAPIWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIApplicationContextAware;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper_inst;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper_inst;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper_inst;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper_inst;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIApplicationContextAware_inst;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper";null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IListFactoryBean;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_ListFactoryBean_provIListFactoryBean;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl blTranslationExceptionProperties_provIListFactoryBean_inst;false
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.ListFactoryBean";null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.CompInstanceImpl "org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper";true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.CompInstanceImpl "blTranslationExceptionProperties";false
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IISOCountryWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IBaseWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IAPIWrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper.provIISOCountryWrapper;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper.provIBaseWrapper;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper.provIAPIWrapper;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper.provIAPIUnwrapper;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper.provIApplicationContextAware;true
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getBeanFactory;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl destroyInstance;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getSingletonInstance;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getEarlySingletonInstance;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl setSourceList;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getBeanFactory;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl destroyInstance;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getSingletonInstance;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getEarlySingletonInstance;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl setJpaProperties;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getJpaPropertyMap;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl setJpaPropertyMap;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getTransactionalEntityManager;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl setEntityManagerFactory;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getPersistenceUnitName;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl setEntityManagerInterface;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.ParameterImpl arg0;false
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getMetamodel;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getSharedCacheMode;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl excludeUnlistedClasses;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getValidationMode;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getPersistenceProviderClassName;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getJarFileUrls;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getMappingFileNames;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getPersistenceUnitRootUrl;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getNonJtaDataSource;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl getPersistenceUnitName;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl isAlwaysUseMessageFormat;null
broadleaf-4.0.0-PATCHSOLR1;broadleaf-4.0.0-CLIENT1-1;class dedal.impl.SignatureImpl isUseCodeAsDefaultMessage;null
