old;new;obj;subst
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.CompInstanceImpl "blMergedCacheConfigLocations";null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl setJpaProperties;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl getTransactionalEntityManager;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl getJpaPropertyMap;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl createEntityManager;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl setEntityManagerFactory;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl setJpaPropertyMap;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl setSynchronizedWithTransaction;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl getMetamodel;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl lookupCache;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl addCache;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl getMissingCache;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl isTransactionAware;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.ParameterImpl arg0;false
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl addOrReplaceDecoratedCache;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl addConfiguredCaches;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl clearAllStartingWith;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl getCacheManagerPeerProvider;null
broadleaf-4.0.20-GA;broadleaf-4.0.21-PERF1;class dedal.impl.SignatureImpl getCacheManagerPeerProviders;null
