old;new;obj;subst
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getTransactionalEntityManager;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.ParameterImpl arg0;false
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl createEntityManager;false
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getPersistenceUnitUtil;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getMissingCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl decorateCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl lookupCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl setCacheManager;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.ParameterImpl arg0;false
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl associateShadowCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getParentCacheName;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl replaceCacheWithDecoratedCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getDiskStorePathManager;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl internalAddDecoratedCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl initializeEhcache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl createTerracottaEventReplicator;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl doInit;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getActiveConfigurationText;false
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl cloneDefaultCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getOnDiskPool;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl cacheExists;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl removeAllCaches;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getFeaturesManager;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl createSizeOfEngine;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getCacheManagerPeerProviders;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getInitializingCacheManager;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl detectAndFixCacheManagerPeerListenerConflict;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl checkForUpdateIfNeeded;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getCacheManagerEventListener;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl checkStatus;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl removeCache;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl clearAllStartingWith;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getCacheManagerPeerProvider;null
broadleaf-4.0.22-PERF3;broadleaf-4.0.22-PERF4;class dedal.impl.SignatureImpl getTimer;null
