old;new;obj;subst
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_DimensionWrapper_provIAPIUnwrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_DimensionWrapper_provIAPIUnwrapper_inst;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_WeightWrapper_provIAPIUnwrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_WeightWrapper_provIAPIUnwrapper_inst;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_SkuWrapper_provIAPIUnwrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_SkuWrapper_provIAPIUnwrapper_inst;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl ICustomerPaymentWrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provICustomerPaymentWrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IBaseWrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIBaseWrapper;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIWrapper;null
