old;new;obj;subst
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl IProductAdminPresentation;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_SkuImpl_provIProductAdminPresentation;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl ISkuAdminPresentation;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_SkuImpl_provISkuAdminPresentation;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_Sku_provIProductAdminPresentation_inst;true
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_Sku_provISkuAdminPresentation_inst;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl IDirectCopyClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_DirectCopyClassTransformer_provIDirectCopyClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl IAbstractClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_DirectCopyClassTransformer_provIAbstractClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl IBroadleafClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_DirectCopyClassTransformer_provIBroadleafClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl IInitializingBean;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_DirectCopyClassTransformer_provIInitializingBean;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl IClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_DirectCopyClassTransformer_provIClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl blEvaluationUtilPatchClassTransformer_provIDirectCopyClassTransformer_inst;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl blEvaluationUtilPatchClassTransformer_provIAbstractClassTransformer_inst;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl blEvaluationUtilPatchClassTransformer_provIBroadleafClassTransformer_inst;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl blEvaluationUtilPatchClassTransformer_provIInitializingBean_inst;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl blEvaluationUtilPatchClassTransformer_provIClassTransformer_inst;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.CompClassImpl "org.broadleafcommerce.common.extensibility.jpa.copy.DirectCopyClassTransformer";null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl blEvaluationUtilPatchClassTransformer_provIDirectCopyClassTransformer_inst;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.CompInstanceImpl "blMergedClassTransformers";null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.CompInstanceImpl "blEvaluationUtilPatchClassTransformer";null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.CompInstanceImpl "blEvaluationUtilPatchClassTransformer";false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InstConnectionImpl con_blMergedClassTransformers_blEvaluationUtilPatchClassTransformer;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl IProductAdminPresentation;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceTypeImpl ISkuAdminPresentation;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.catalog.domain.SkuImpl.provIProductAdminPresentation;true
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.catalog.domain.SkuImpl.provISkuAdminPresentation;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl getTransactionalEntityManager;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl setJpaPropertyMap;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl createEntityManager;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl setSynchronizedWithTransaction;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl getMetamodel;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl createEntityManager;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.ParameterImpl operation;true
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.ParameterImpl params;true
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl execute;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.ParameterImpl operation;true
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.ParameterImpl params;true
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl execute;false
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl decorateCache;null
broadleaf-5.0.0-M4;broadleaf-5.0.0-RC1;class dedal.impl.SignatureImpl lookupCache;null
