old;new;obj;subst
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl setJpaPropertyMap;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getJpaPropertyMap;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl setPersistenceUnitName;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl setEntityManagerFactory;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl setEntityManagerInterface;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl createEntityManager;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl addCache;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl decorateCache;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getMissingCache;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.ParameterImpl arg0;true
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getCacheManagerEventListenerRegistry;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getCacheNames;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getTimer;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getParentCacheName;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getFeaturesManager;null
broadleaf-5.0.10.2-GA;broadleaf-5.0.10.3-GA;class dedal.impl.SignatureImpl getActiveConfigurationText;null
