old;new;obj;subst
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_springframework_orm_jpa_JpaTransactionManager_provIJpaTransactionManager;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_springframework_orm_jpa_JpaTransactionManager_entityManagerFactory;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl ILifecycleAwareJpaTransactionManager;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_LifecycleAwareJpaTransactionManager_provILifecycleAwareJpaTransactionManager;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionManager_entityManagerFactory_inst;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionManager_provILifecycleAwareJpaTransactionManager_inst;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.CompClassImpl "org.springframework.orm.jpa.JpaTransactionManager";false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl ITransactionLifecycleMonitor;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provITransactionLifecycleMonitor;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl IBroadleafApplicationListener;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provIBroadleafApplicationListener;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provIApplicationContextAware;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl ISmartLifecycle;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provISmartLifecycle;null
