old;new;obj;subst
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_SearchFacetImpl_provIMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_SearchFacet_provIMultiTenantCloneable_inst;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_IndexFieldImpl_provIMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_IndexField_provIMultiTenantCloneable_inst;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_IndexFieldTypeImpl_provIMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_IndexFieldType_provIMultiTenantCloneable_inst;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceTypeImpl IListFactoryBean;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_ListFactoryBean_provIListFactoryBean;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl blMessageSourceBaseNames_provIListFactoryBean_inst;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.ListFactoryBean";null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.CompInstanceImpl "blMessageSourceBaseNames";false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.search.domain.SearchFacetImpl.provIMultiTenantCloneable;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.search.domain.IndexFieldImpl.provIMultiTenantCloneable;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.search.domain.IndexFieldTypeImpl.provIMultiTenantCloneable;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setTargetMapClass;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setJpaProperties;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getJpaPropertyMap;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setEntityManagerFactory;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createEntityManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createEntityManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getMetamodel;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl lookupCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setCacheManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.ParameterImpl arg0;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setCacheManagerEventListener;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getOriginalConfigurationText;false
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createSoftLockManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getCacheManagerEventListenerRegistry;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getDiskStorePathManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addCacheIfAbsent;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getCacheNames;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getOnHeapPool;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getClusteredInstanceFactory;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createSizeOfEngine;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl internalAddDecoratedCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl initializeEhcache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getEhcache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addDecoratedCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addDecoratedCacheIfAbsent;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getCachePeerListener;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getOrCreateEventSink;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl sendManagementEvent;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getCluster;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl checkStatus;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addOrReplaceDecoratedCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getActiveConfigurationText;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createDefaultCacheDecorators;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getCacheManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getStatisticsExecutor;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl retrieveFeaturesManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getInitializingCacheManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl associateShadowCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl assertManagementRESTServiceConfigurationIsCorrect;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getFeaturesManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl replaceCacheWithDecoratedCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl cloneDefaultCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl reinitialisationCheck;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getParentCacheName;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addShutdownHookIfRequired;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addCache;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl parseConfiguration;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getClientUUID;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getOnDiskPool;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getDefaultClusteredManagementRESTServiceConfiguration;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl assertNoCacheManagerExistsWithSameName;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getOrCreateTransactionIDFactory;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createTerracottaEventReplicator;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl checkForUpdateIfNeeded;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl addConfiguredCaches;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl initializeManagementService;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl postProcessAfterInitialization;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl postProcessAfterInitialization;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl postProcessAfterInitialization;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getResourceTransformers;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl isInvalidPath;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl processPath;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl writeContent;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setResourceResolvers;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getResourceTransformers;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl isInvalidPath;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl processPath;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl writeContent;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setResourceResolvers;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl updateNameMap;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl handlerMethodsInitialized;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl detectHandlerMethods;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getMappingComparator;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl isHandler;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl initHandlerMethods;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getMappingForMethod;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getHandlerMethods;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createHandlerMethod;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setHandlerMethodMappingNamingStrategy;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl lookupHandlerMethod;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getMappingPathPatterns;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getMatchingMapping;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl handleMatch;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getRequestParams;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getConsumableMediaTypes;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl useSuffixPatternMatch;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getCustomTypeCondition;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createRequestMappingInfo;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getCustomMethodCondition;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl resolveEmbeddedValuesInPatterns;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getContentNegotiationManager;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getDataSource;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getBeanClassLoader;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getPersistenceUnitName;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getPersistenceProvider;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getNativeEntityManagerFactory;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl getJpaVendorAdapter;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setEntityManagerFactoryInterface;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setJpaVendorAdapter;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl createNativeEntityManagerFactory;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setEntityManagerInterface;null
broadleaf-5.1.4-PERF2;broadleaf-5.1.5-GA;class dedal.impl.SignatureImpl setJpaProperties;null
