old;new;obj;subst
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl IConditionalDirectCopyTransformMemberDto;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provIConditionalDirectCopyTransformMemberDto;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl ISerializable;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provISerializable;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl blSkuMinOrderQuantityConditionalDirectCopyTransformerMember_provIConditionalDirectCopyTransformMemberDto_inst;true
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl blSkuMinOrderQuantityConditionalDirectCopyTransformerMember_provISerializable_inst;true
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.CompClassImpl "org.broadleafcommerce.common.weave.ConditionalDirectCopyTransformMemberDto";null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl ICrossSaleProductImpl;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provICrossSaleProductImpl;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl ICrossSaleProduct;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provICrossSaleProduct;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl IMultiTenantCloneable;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provIMultiTenantCloneable;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl IRelatedProduct;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provIRelatedProduct;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl IPromotableProduct;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_catalog_domain_CrossSaleProductImpl_provIPromotableProduct;null
broadleaf-5.2.7-GA;broadleaf-5.3.0-M1;class dedal.impl.InterfaceTypeImpl ISerializable;null
