old;new;obj;diff_kind;subst
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IAbstractStructuredContentRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIAbstractStructuredContentRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IStructuredContentRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIStructuredContentRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IAbstractRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIAbstractRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_structure_service_StructuredContentDefaultRuleProcessor_provIRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIAbstractStructuredContentRuleProcessor_inst;ADD;true
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIStructuredContentRuleProcessor_inst;ADD;true
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIAbstractRuleProcessor_inst;DELETE;false
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl blContentDefaultRuleProcessor_provIRuleProcessor_inst;DELETE;false
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IAbstractPageRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_service_PageDefaultRuleProcessor_provIAbstractPageRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IPageRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_service_PageDefaultRuleProcessor_provIPageRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceTypeImpl IAbstractRuleProcessor;CHANGE;null
broadleaf-3.1.0-ALPHA1;broadleaf-3.1.0-ALPHA2;class dedal.impl.InterfaceImpl org_broadleafcommerce_cms_page_service_PageDefaultRuleProcessor_provIAbstractRuleProcessor;CHANGE;null
