old;new;obj;diff_kind;subst
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceTypeImpl IPaymentServiceActivity;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_checkout_service_workflow_PaymentServiceActivity_provIPaymentServiceActivity;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceTypeImpl IBaseActivity;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_checkout_service_workflow_PaymentServiceActivity_provIBaseActivity;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceTypeImpl IActivity;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_checkout_service_workflow_PaymentServiceActivity_provIActivity;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceTypeImpl IBeanNameAware;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_checkout_service_workflow_PaymentServiceActivity_provIBeanNameAware;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceTypeImpl IOrdered;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_checkout_service_workflow_PaymentServiceActivity_provIOrdered;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl blPaymentServiceActivity_provIPaymentServiceActivity_inst;ADD;true
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl blPaymentServiceActivity_provIBaseActivity_inst;ADD;true
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl blPaymentServiceActivity_provIActivity_inst;ADD;true
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl blPaymentServiceActivity_provIBeanNameAware_inst;ADD;true
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl blPaymentServiceActivity_provIOrdered_inst;ADD;true
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.checkout.service.workflow.PaymentServiceActivity";CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceTypeImpl ICompositeActivity;CHANGE;null
broadleaf-3.1.0-M2-16;broadleaf-3.1.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_payment_service_workflow_CompositeActivity_provICompositeActivity;CHANGE;null
