old;new;obj;diff_kind;subst
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl ISessionOrderLockManager;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_order_SessionOrderLockManager_provISessionOrderLockManager;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_order_SessionOrderLockManager_provIOrderLockManager;CHANGE;false
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl IApplicationListener;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_order_SessionOrderLockManager_provIApplicationListener;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl IDatabaseOrderLockManager;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_order_DatabaseOrderLockManager_provIDatabaseOrderLockManager;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl blOrderLockManager_provISessionOrderLockManager_inst;ADD;true
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl blOrderLockManager_provIApplicationListener_inst;ADD;true
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl blOrderLockManager_provIDatabaseOrderLockManager_inst;DELETE;false
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.web.order.SessionOrderLockManager";CHANGE;false
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl IOrderLockImpl;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_order_domain_OrderLockImpl_provIOrderLockImpl;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl IOrderLock;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_order_domain_OrderLockImpl_provIOrderLock;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl ISerializable;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_order_domain_OrderLockImpl_provISerializable;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_order_domain_OrderLock_provIOrderLockImpl_inst;DELETE;false
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_order_domain_OrderLock_provIOrderLock_inst;DELETE;false
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_order_domain_OrderLock_provISerializable_inst;DELETE;false
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.order.domain.OrderLockImpl";CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.CompInstanceImpl "org.broadleafcommerce.core.order.domain.OrderLock";DELETE;false
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl ISessionOrderLockManager;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl IOrderLockManager;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceTypeImpl IApplicationListener;CHANGE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.order.SessionOrderLockManager.provISessionOrderLockManager;ADD;true
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.order.SessionOrderLockManager.provIOrderLockManager;ADD;true
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.web.order.SessionOrderLockManager.provIApplicationListener;ADD;true
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.SignatureImpl getPersistenceUnitName;MOVE;null
broadleaf-3.1.0-M2-9;broadleaf-3.1.0-M2-10;class dedal.impl.SignatureImpl getJpaVendorAdapter;MOVE;null
