old;new;obj;diff_kind;subst
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceTypeImpl IAdditionalFields;CHANGE;null
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_payment_domain_PaymentTransactionImpl_provIAdditionalFields;CHANGE;null
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_payment_domain_PaymentTransaction_provIAdditionalFields_inst;DELETE;false
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_DimensionWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_DimensionWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_WeightWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_WeightWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.0-BETA7;broadleaf-4.0.0-BETA8;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
