old;new;obj;diff_kind;subst
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IISOCountryWrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IBaseWrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IAPIWrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIApplicationContextAware;CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper_inst;DELETE;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper_inst;DELETE;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper_inst;DELETE;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIApplicationContextAware_inst;DELETE;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper";CHANGE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.CompInstanceImpl "org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper";DELETE;false
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getEarlySingletonInstance;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl setSingleton;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getBeanTypeConverter;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getEarlySingletonInterfaces;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl setTargetListClass;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getEarlySingletonInstance;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl setSingleton;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getBeanTypeConverter;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getEarlySingletonInterfaces;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl setTargetMapClass;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl setEntityManagerFactory;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getTransactionalEntityManager;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl setJpaProperties;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl createEntityManager;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getEntityManagerFactory;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getJpaPropertyMap;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getMetamodel;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getCriteriaBuilder;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getPersistenceUnitUtil;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getJtaDataSource;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getNewTempClassLoader;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl excludeUnlistedClasses;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getPersistenceUnitName;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getNonJtaDataSource;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getPersistenceXMLSchemaVersion;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getJarFileUrls;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getSharedCacheMode;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getTransactionType;MOVE;null
broadleaf-4.0.0-CLIENT3-1;broadleaf-4.0.1-GA;class dedal.impl.SignatureImpl getManagedClassNames;MOVE;null
