old;new;obj;diff_kind;subst
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceTypeImpl IISOCountryWrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceTypeImpl IBaseWrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceTypeImpl IAPIWrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIApplicationContextAware;CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIISOCountryWrapper_inst;DELETE;false
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIBaseWrapper_inst;DELETE;false
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIWrapper_inst;DELETE;false
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_ISOCountryWrapper_provIApplicationContextAware_inst;DELETE;false
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper";CHANGE;null
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.CompInstanceImpl "org.broadleafcommerce.core.web.api.wrapper.ISOCountryWrapper";DELETE;false
broadleaf-4.0.0-GA;broadleaf-4.0.0-PATCH1;class dedal.impl.SignatureImpl getBeanFactory;MOVE;null
