old;new;obj;diff_kind;subst
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl setSourceMap;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl setEntityManagerFactory;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl setJpaPropertyMap;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl setJpaProperties;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl createEntityManager;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl createEntityManager;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getPersistenceUnitUtil;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl addCache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl lookupCache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl isTransactionAware;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.ParameterImpl arg0;DELETE;true
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl addDecoratedCache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl addDecoratedCacheIfAbsent;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl internalAddDecoratedCache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl initializeEhcache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl clearAllStartingWith;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getCacheManagerPeerProvider;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getCacheManagerPeerProviders;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl removeAllCaches;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl addOrReplaceDecoratedCache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl checkForUpdateIfNeeded;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl createTerracottaEventReplicator;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl detectAndFixCacheManagerPeerListenerConflict;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getCacheNames;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getInitializingCacheManager;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getClusterUUID;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getClientUUID;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl reinitialisationCheck;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getCacheManagerEventListenerRegistry;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl assertNoCacheManagerExistsWithSameName;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl addCache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl createTerracottaStore;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl associateShadowCache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getStatisticsExecutor;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl retrieveFeaturesManager;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getActiveConfigurationText;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl doInit;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl getEhcache;MOVE;null
broadleaf-4.0.0-PATCH1;broadleaf-4.0.0-PATCHSOLR1;class dedal.impl.SignatureImpl setCacheManagerEventListener;MOVE;null
