old;new;obj;diff_kind;subst
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.InterfaceTypeImpl IListFactoryBean;CHANGE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_ListFactoryBean_provIListFactoryBean;CHANGE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.InterfaceImpl blTranslationExceptionProperties_provIListFactoryBean_inst;DELETE;false
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.ListFactoryBean";CHANGE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.CompInstanceImpl "blTranslationExceptionProperties";DELETE;false
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setSourceMap;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setJpaPropertyMap;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getPersistenceUnitName;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setJpaProperties;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setEntityManagerFactory;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getTransactionalEntityManager;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl createEntityManager;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getPersistenceProviderClassName;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getPersistenceUnitName;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getNewTempClassLoader;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getManagedClassNames;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getJtaDataSource;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getNonJtaDataSource;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl excludeUnlistedClasses;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getTransactionType;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl getSharedCacheMode;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setAlwaysUseMessageFormat;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setConcurrentRefresh;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setPropertiesPersister;MOVE;null
broadleaf-4.0.1-PATCH2;broadleaf-4.0.2-GA;class dedal.impl.SignatureImpl setCacheSeconds;MOVE;null
