old;new;obj;diff_kind;subst
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_DimensionWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_DimensionWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_WeightWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_WeightWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_SkuWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_SkuWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl ICustomerPaymentWrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provICustomerPaymentWrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IBaseWrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIBaseWrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIWrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIAPIWrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IWrapperAdditionalFields;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIWrapperAdditionalFields;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIAPIUnwrapper;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIApplicationContextAware;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provICustomerPaymentWrapper_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIBaseWrapper_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIAPIWrapper_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIWrapperAdditionalFields_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIAPIUnwrapper_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_web_api_wrapper_CustomerPaymentWrapper_provIApplicationContextAware_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.CompClassImpl "org.broadleafcommerce.core.web.api.wrapper.CustomerPaymentWrapper";CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IMapFactoryBean;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_MapFactoryBean_provIMapFactoryBean;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl blConditionalDirectCopyTransformers_provIMapFactoryBean_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.MapFactoryBean";CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IConditionalDirectCopyTransformMemberDto;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provIConditionalDirectCopyTransformMemberDto;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl ISerializable;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provISerializable;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl blCommonConditionalDirectCopyTransformerMember_provIConditionalDirectCopyTransformMemberDto_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl blCommonConditionalDirectCopyTransformerMember_provISerializable_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.CompClassImpl "org.broadleafcommerce.common.weave.ConditionalDirectCopyTransformMemberDto";CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IMapFactoryBean;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_MapFactoryBean_provIMapFactoryBean;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IMap;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl blCommonConditionalDirectCopyTransformers_provIMapFactoryBean_inst;DELETE;false
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl blCommonConditionalDirectCopyTransformers_sourceMap_inst;DELETE;true
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.MapFactoryBean";CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IEarlyStageMergeBeanPostProcessor;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIEarlyStageMergeBeanPostProcessor;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IAbstractMergeBeanPostProcessor;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIAbstractMergeBeanPostProcessor;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IPriorityOrdered;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIPriorityOrdered;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IBeanPostProcessor;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIBeanPostProcessor;CHANGE;null
broadleaf-4.0.4-GA;broadleaf-4.0.5-BETA1;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;CHANGE;null
