old;new;obj;diff_kind;subst
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceTypeImpl IConditionalFieldAnnotationsClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_ConditionalFieldAnnotationsClassTransformer_provIConditionalFieldAnnotationsClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceTypeImpl IAbstractClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_ConditionalFieldAnnotationsClassTransformer_provIAbstractClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceTypeImpl IBroadleafClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_ConditionalFieldAnnotationsClassTransformer_provIBroadleafClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceTypeImpl IInitializingBean;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_ConditionalFieldAnnotationsClassTransformer_provIInitializingBean;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceTypeImpl IClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_jpa_copy_ConditionalFieldAnnotationsClassTransformer_provIClassTransformer;CHANGE;null
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl blConditionalFieldAnnotationClassTransformer_provIConditionalFieldAnnotationsClassTransformer_inst;DELETE;false
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl blConditionalFieldAnnotationClassTransformer_provIAbstractClassTransformer_inst;DELETE;false
broadleaf-4.0.5-BETA1;broadleaf-4.0.5-GA;class dedal.impl.InterfaceImpl blConditionalFieldAnnotationClassTransformer_provIBroadleafClassTransformer_inst;DELETE;false
