old;new;obj;diff_kind;subst
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IConditionalDirectCopyTransformMemberDto;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provIConditionalDirectCopyTransformMemberDto;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl ISerializable;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provISerializable;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl blSiteMapGeneratorConfigurationConditionalDirectCopyTransformerMember_provIConditionalDirectCopyTransformMemberDto_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl blSiteMapGeneratorConfigurationConditionalDirectCopyTransformerMember_provISerializable_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.CompClassImpl "org.broadleafcommerce.common.weave.ConditionalDirectCopyTransformMemberDto";CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IMapFactoryBean;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_MapFactoryBean_provIMapFactoryBean;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl blOptionalIncludeAdminMainEntityWeaveMap_provIMapFactoryBean_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.MapFactoryBean";CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IEarlyStageMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIEarlyStageMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IAbstractMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIAbstractMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IPriorityOrdered;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIPriorityOrdered;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIApplicationContextAware;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIEarlyStageMergeBeanPostProcessor_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIAbstractMergeBeanPostProcessor_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIPriorityOrdered_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIBeanPostProcessor_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIApplicationContextAware_inst;ADD;true
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.CompClassImpl "org.broadleafcommerce.common.extensibility.context.merge.EarlyStageMergeBeanPostProcessor";CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl IConditionalDirectCopyTransformMemberDto;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provIConditionalDirectCopyTransformMemberDto;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceTypeImpl ISerializable;CHANGE;null
broadleaf-5.0.0-RC1;broadleaf-5.0.0-RC2;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_weave_ConditionalDirectCopyTransformMemberDto_provISerializable;CHANGE;null
