old;new;obj;diff_kind;subst
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl ICustomerPaymentAdminPresentation;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_profile_core_domain_CustomerPaymentImpl_provICustomerPaymentAdminPresentation;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_profile_core_domain_CustomerPayment_provICustomerPaymentAdminPresentation_inst;DELETE;false
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl ISortedListFactoryBean;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_util_SortedListFactoryBean_provISortedListFactoryBean;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl IListFactoryBean;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_util_SortedListFactoryBean_provIListFactoryBean;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl blCMSPersistenceProviders_provISortedListFactoryBean_inst;DELETE;false
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl blCMSPersistenceProviders_provIListFactoryBean_inst;DELETE;false
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.CompClassImpl "org.broadleafcommerce.common.util.SortedListFactoryBean";CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl IEarlyStageMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIEarlyStageMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl IAbstractMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIAbstractMergeBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl IPriorityOrdered;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIPriorityOrdered;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl IBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIBeanPostProcessor;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_provIApplicationContextAware;CHANGE;null
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIEarlyStageMergeBeanPostProcessor_inst;DELETE;false
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIAbstractMergeBeanPostProcessor_inst;DELETE;false
broadleaf-5.0.0-RC2;broadleaf-5.0.0-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_extensibility_context_merge_EarlyStageMergeBeanPostProcessor_anonymousBean_provIPriorityOrdered_inst;DELETE;false
