old;new;obj;diff_kind;subst
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl setJpaPropertyMap;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getJpaPropertyMap;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCriteriaBuilder;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl decorateCache;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.ParameterImpl arg0;ADD;false
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.ParameterImpl arg0;ADD;false
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl addConfiguredCaches;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getInitializingCacheManager;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl sendManagementEvent;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getOrCreateEventSink;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl assertNoCacheManagerExistsWithSameName;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getOnDiskPool;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getParentCacheName;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl retrieveFeaturesManager;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getClusteredInstanceFactory;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCacheManager;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl addShutdownHookIfRequired;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl reinitialisationCheck;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getEhcache;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getFeaturesManager;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl parseConfiguration;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl addCacheIfAbsent;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl cloneDefaultCache;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl associateShadowCache;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl replaceCacheWithDecoratedCache;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl checkForUpdateIfNeeded;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl setCacheManagerEventListener;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getTransactionController;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCacheManagerEventListener;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getClientUUID;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl initializeManagementService;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getClusterUUID;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl createSoftLockManager;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl createTerracottaEventReplicator;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getActiveConfigurationText;MOVE;false
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getStatisticsExecutor;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl createTerracottaStore;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl detectAndFixCacheManagerPeerListenerConflict;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getOnHeapPool;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl addOrReplaceDecoratedCache;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCacheNames;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCluster;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCacheManagerEventListenerRegistry;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl clearAllStartingWith;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCacheManagerPeerProvider;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCacheManagerPeerProviders;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl doInit;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl createSizeOfEngine;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getCachePeerListener;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl removeAllCaches;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl removalAll;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl removeCache;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getTimer;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl updateNameMap;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl initHandlerMethods;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl handlerMethodsInitialized;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getMappingForMethod;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl handleNoMatch;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl registerHandlerMethod;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl createHandlerMethod;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl isHandler;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getMatchingMapping;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl handleMatch;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getMappingPathPatterns;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getMappingComparator;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl getConsumableMediaTypes;MOVE;null
broadleaf-5.0.10-GA;broadleaf-5.0.10.1-GA;class dedal.impl.SignatureImpl useRegisteredSuffixPatternMatch;MOVE;null
