old;new;obj;diff_kind;subst
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_springframework_orm_jpa_JpaTransactionManager_provIJpaTransactionManager;CHANGE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_springframework_orm_jpa_JpaTransactionManager_entityManagerFactory;CHANGE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl ILifecycleAwareJpaTransactionManager;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_LifecycleAwareJpaTransactionManager_provILifecycleAwareJpaTransactionManager;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionManager_entityManagerFactory_inst;MOVE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionManager_provILifecycleAwareJpaTransactionManager_inst;DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.CompClassImpl "org.springframework.orm.jpa.JpaTransactionManager";CHANGE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl ITransactionLifecycleMonitor;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provITransactionLifecycleMonitor;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl IBroadleafApplicationListener;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provIBroadleafApplicationListener;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl IApplicationContextAware;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provIApplicationContextAware;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl ISmartLifecycle;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provISmartLifecycle;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl ISqlStatementLoggable;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provISqlStatementLoggable;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceTypeImpl IApplicationListener;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl org_broadleafcommerce_common_persistence_transaction_TransactionLifecycleMonitor_provIApplicationListener;CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionLifecycleMonitor_provITransactionLifecycleMonitor_inst;DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionLifecycleMonitor_provIBroadleafApplicationListener_inst;DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionLifecycleMonitor_provIApplicationContextAware_inst;DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionLifecycleMonitor_provISmartLifecycle_inst;DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionLifecycleMonitor_provISqlStatementLoggable_inst;DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.InterfaceImpl blTransactionLifecycleMonitor_provIApplicationListener_inst;DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.CompClassImpl "org.broadleafcommerce.common.persistence.transaction.TransactionLifecycleMonitor";CHANGE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.CompInstanceImpl "blMergedCacheConfigLocations";MOVE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.CompInstanceImpl "blTransactionLifecycleMonitor";DELETE;false
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.SignatureImpl setTargetMapClass;MOVE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.SignatureImpl getTransactionalEntityManager;MOVE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.SignatureImpl setSynchronizedWithTransaction;MOVE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.ParameterImpl arg0;DELETE;true
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.SignatureImpl getCriteriaBuilder;MOVE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.SignatureImpl createEntityManager;MOVE;null
broadleaf-5.0.10.3-GA;broadleaf-5.0.11-GA;class dedal.impl.SignatureImpl getMissingCache;MOVE;null
