old;new;obj;diff_kind;subst
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl setSourceMap;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getTransactionalEntityManager;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getPersistenceUnitUtil;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl lookupCache;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl addCache;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl createSizeOfEngine;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getStatus;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl addOrReplaceDecoratedCache;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getCacheManagerPeerProviders;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getOnDiskPool;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getCachePeerListener;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getActiveConfigurationText;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl cloneDefaultCache;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl doInit;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getOrCreateTransactionIDFactory;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl parseConfiguration;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getCacheNames;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getParentCacheName;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl initializeEhcache;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl associateShadowCache;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getCacheManagerEventListenerRegistry;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl getDiskStorePathManager;MOVE;null
broadleaf-5.0.15-GA;broadleaf-5.0.16-GA;class dedal.impl.SignatureImpl initializeManagementService;MOVE;null
