old;new;obj;diff_kind;subst
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.InterfaceTypeImpl IAdminMainEntity;CHANGE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_IndexFieldImpl_provIAdminMainEntity;CHANGE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.InterfaceImpl org_broadleafcommerce_core_search_domain_IndexField_provIAdminMainEntity_inst;DELETE;false
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.InterfaceTypeImpl IAdminMainEntity;CHANGE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.InterfaceImpl __org.broadleafcommerce.core.search.domain.IndexFieldImpl.provIAdminMainEntity;DELETE;false
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getSingletonInstance;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getEarlySingletonInterfaces;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getBeanTypeConverter;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl destroyInstance;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getSingletonInstance;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getEarlySingletonInterfaces;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getBeanTypeConverter;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl destroyInstance;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.ParameterImpl arg3;DELETE;true
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.ParameterImpl arg2;ADD;false
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.ParameterImpl arg2;DELETE;true
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.ParameterImpl arg1;DELETE;true
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl isRequireSession;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl setUseCacheControlNoStore;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl setUseExpiresHeader;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl preventCaching;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl checkRequest;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl isUseCacheControlNoStore;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getCacheSeconds;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl checkAndPrepare;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl isAlwaysMustRevalidate;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl applyCacheSeconds;MOVE;false
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl cacheForSeconds;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl prepareResponse;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl getSupportedMethods;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl setCacheControl;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl setSupportedMethods;MOVE;null
broadleaf-5.2.0-M2;broadleaf-5.2.0-RC1;class dedal.impl.SignatureImpl initAllowHeader;MOVE;null
