,old,new,nbDiffs_ADD,nbDiffs_DEL,nbDiffs_CHG,nbDiffs,nb_diffParam_ADD,nb_diffParam_DEL,nb_diffParam_CHG,nb_diffParam,nb_notSubst_diffParam,nb_Subst_diffParam,nb_diffSign_ADD,nb_diffSign_DEL,nb_diffSign_CHG,nb_diffSign,nb_notSubst_diffSign,nb_Subst_diffSign,nb_diffIntType_ADD,nb_diffIntType_DEL,nb_diffIntType_CHG,nb_diffIntType,nb_notSubst_diffIntType,nb_Subst_diffIntType,nb_diffInt_ADD,nb_diffInt_DEL,nb_diffInt_CHG,nb_diffInt,nb_notSubst_diffInt,nb_Subst_diffInt,nb_diffCompType_ADD,nb_diffCompType_DEL,nb_diffCompType_CHG,nb_diffCompType,nb_notSubst_diffCompType,nb_Subst_diffCompType,nb_diffCompInst_ADD,nb_diffCompInst_DEL,nb_diffCompInst_CHG,nb_diffCompInst,nb_notSubst_diffCompInst,nb_Subst_diffCompInst,nb_diffCompClass_ADD,nb_diffCompClass_DEL,nb_diffCompClass_CHG,nb_diffCompClass,nb_notSubst_diffCompClass,nb_Subst_diffCompClass,nb_diffAttr_ADD,nb_diffAttr_DEL,nb_diffAttr_CHG,nb_diffAttr,nb_notSubst_diffAttr,nb_Subst_diffAttr,nb_diffCompRole_ADD,nb_diffCompRole_DEL,nb_diffCompRole_CHG,nb_diffCompRole,nb_notSubst_diffCompRole,nb_Subst_diffCompRole,nb_diffAssm_ADD,nb_diffAssm_DEL,nb_diffAssm_CHG,nb_diffAssm,nb_notSubst_diffAssm,nb_Subst_diffAssm,nb_diffConfig_ADD,nb_diffConfig_DEL,nb_diffConfig_CHG,nb_diffConfig,nb_notSubst_diffConfig,nb_Subst_diffConfig,nb_diffSpec_ADD,nb_diffSpec_DEL,nb_diffSpec_CHG,nb_diffSpec,nb_notSubst_diffSpec,nb_Subst_diffSpec,shoulBeSubstitutable,isSubstitutable,actualIncrement,proposedIncrement,isSubjectToErosion,isSubjectToDrift
0,broadleaf-3.0.0-BETA1,broadleaf-3.0.0-BETA2,413,114,276,822,115,8,0,123,115,8,219,26,0,245,137,108,8,3,78,95,13,0,56,33,177,277,30,65,4,1,5,10,1,4,4,2,50,56,2,4,4,1,30,40,3,4,0,0,0,0,0,0,8,2,14,24,2,8,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
1,broadleaf-3.0.0-BETA2,broadleaf-3.0.0-BETA3,18,285,218,569,2,42,0,44,2,42,4,61,0,65,63,2,0,6,142,164,19,0,6,142,189,369,170,6,1,7,8,16,7,1,0,8,2,10,8,0,1,7,15,36,18,1,0,0,0,0,0,0,2,14,4,20,14,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
2,broadleaf-3.0.0-BETA3,broadleaf-3.0.0-GA,581,810,628,2399,166,264,0,430,166,264,121,224,0,603,317,30,24,20,392,479,62,0,204,232,523,1045,296,177,16,14,32,62,16,14,15,25,18,59,27,13,16,16,51,115,28,14,0,0,0,0,0,0,32,30,4,66,32,30,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
3,broadleaf-3.0.0-GA,broadleaf-3.0.0-GA-ETS-SPRING-4-M1,174,91,156,610,47,22,0,69,47,22,80,27,0,245,70,37,1,0,32,50,6,0,18,15,91,158,32,17,4,3,7,14,4,3,1,1,8,10,1,1,3,3,38,58,9,2,0,0,0,0,0,0,8,7,12,27,8,7,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
4,broadleaf-3.0.0-GA-ETS-SPRING-4-M1,broadleaf-3.0.0-GA-ETS-SPRING-4-M2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.BUILD,False,False
5,broadleaf-3.0.0-GA-ETS-SPRING-4-M2,broadleaf-3.0.1-GA,92,394,236,794,23,107,0,130,23,107,27,174,0,214,195,7,0,6,72,99,18,0,15,63,153,273,87,18,3,6,9,19,7,2,1,11,10,23,11,1,3,5,50,69,12,2,0,0,0,0,0,0,7,12,14,34,13,6,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
6,broadleaf-3.0.1-GA,broadleaf-3.0.2-GA,6,650,159,1097,1,383,0,384,1,383,0,153,0,365,154,0,0,7,69,98,11,0,0,76,114,234,80,4,0,5,5,10,5,0,0,6,20,26,6,0,0,5,14,39,8,0,0,0,0,0,0,0,0,10,6,16,10,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
7,broadleaf-3.0.10-GA,broadleaf-3.0.11-GA,3,116,28,156,2,53,0,55,2,53,1,41,0,42,42,0,0,2,12,16,4,0,0,14,20,38,14,4,0,1,1,2,1,0,0,1,2,3,1,0,0,1,3,6,3,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
8,broadleaf-3.0.11-GA,broadleaf-3.0.12-GA,6,14,0,252,6,11,0,17,6,11,0,3,0,188,9,0,0,0,0,16,3,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,True,False
9,broadleaf-3.0.12-GA,broadleaf-3.0.13-GA,0,34,17,54,0,6,0,6,0,6,0,8,0,8,8,0,0,3,12,15,3,0,0,15,15,30,15,0,0,1,1,2,1,0,0,1,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
10,broadleaf-3.0.13-GA,broadleaf-3.0.14-GA,0,1,0,203,0,1,0,1,0,1,0,0,0,164,0,0,0,0,0,13,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.MINOR,False,True
11,broadleaf-3.0.14-GA,broadleaf-3.0.15-GA,1,1,0,270,1,1,0,2,1,1,0,0,0,212,1,0,0,0,0,19,1,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
12,broadleaf-3.0.15-GA,broadleaf-3.0.16-GA,2,174,76,536,2,32,0,34,2,32,0,65,0,289,67,0,0,6,56,82,8,0,0,62,70,172,66,0,0,3,3,6,3,0,0,3,0,3,3,0,0,3,3,23,5,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
13,broadleaf-3.0.16-GA,broadleaf-3.1.0-ALPHA1,1327,1244,1076,4000,578,485,0,1063,578,485,408,280,0,874,551,145,24,24,562,658,57,0,244,350,898,1587,411,201,13,20,33,70,21,12,23,20,62,130,21,22,13,20,61,126,28,12,0,0,0,0,0,0,26,40,22,93,41,25,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.MINOR,Increment.MAJOR,True,False
14,broadleaf-3.0.2-GA,broadleaf-3.0.3-GA,0,17,0,380,0,15,0,15,0,15,0,2,0,299,2,0,0,0,0,22,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
15,broadleaf-3.0.3-GA,broadleaf-3.0.4-GA,1063,69,428,1792,444,23,0,467,444,23,240,28,0,452,247,21,18,1,277,313,19,0,283,13,362,690,32,264,16,1,17,34,1,16,16,1,32,49,1,16,16,1,17,47,1,16,0,0,0,0,0,0,32,2,0,34,2,32,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,True,False,Increment.BUILD,Increment.MAJOR,False,False
16,broadleaf-3.0.4-GA,broadleaf-3.0.5-GA,1,0,0,572,1,0,0,1,1,0,0,0,0,466,1,0,0,0,0,37,1,0,0,0,0,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,True
17,broadleaf-3.0.5-GA,broadleaf-3.0.6-GA,82,35,65,586,24,11,0,35,24,11,13,20,0,321,37,0,4,0,28,68,14,0,29,3,48,152,35,17,2,0,2,7,0,2,2,1,4,11,1,2,2,0,7,40,7,2,0,0,0,0,0,0,4,0,4,11,0,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,True,False,Increment.BUILD,Increment.MAJOR,False,False
18,broadleaf-3.0.6-GA,broadleaf-3.0.7-GA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.MINOR,False,True
19,broadleaf-3.0.7-GA,broadleaf-3.0.8-GA,0,0,0,212,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,13,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.MINOR,False,True
20,broadleaf-3.0.8-GA,broadleaf-3.0.9-GA,1,0,0,209,1,0,0,1,1,0,0,0,0,170,1,0,0,0,0,13,1,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,True,False,Increment.BUILD,Increment.MAJOR,False,True
21,broadleaf-3.0.9-GA,broadleaf-3.0.10-GA,0,2,0,262,0,2,0,2,0,2,0,0,0,204,0,0,0,0,0,19,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,Increment.BUILD,Increment.MINOR,False,True
